Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,target,,,,,,
51,7,3.2,4.7,1.4,Iris-versicolor,0,,,Count of Sepal Length in cm,Column Labels,,
52,6.4,3.2,4.5,1.5,Iris-versicolor,0,,,Row Labels,Iris-versicolor,Iris-virginica,Grand Total
53,6.9,3.1,4.9,1.5,Iris-versicolor,0,,,4.8-5.2,4,1,5
54,5.5,2.3,4,1.3,Iris-versicolor,0,,,5.2-5.6,7,,7
55,6.5,2.8,4.6,1.5,Iris-versicolor,0,,,5.6-6,15,6,21
56,5.7,2.8,4.5,1.3,Iris-versicolor,0,,,6-6.4,13,12,25
57,6.3,3.3,4.7,1.6,Iris-versicolor,0,,,6.4-6.8,8,14,22
58,4.9,2.4,3.3,1,Iris-versicolor,0,,,6.8-7.2,3,6,9
59,6.6,2.9,4.6,1.3,Iris-versicolor,0,,,7.2-7.6,,5,5
60,5.2,2.7,3.9,1.4,Iris-versicolor,0,,,7.6-8,,6,6
61,5,2,3.5,1,Iris-versicolor,0,,,Grand Total,50,50,100
62,5.9,3,4.2,1.5,Iris-versicolor,0,,,,,,
63,6,2.2,4,1,Iris-versicolor,0,,,,,,
64,6.1,2.9,4.7,1.4,Iris-versicolor,0,,,,,,
65,5.6,2.9,3.6,1.3,Iris-versicolor,0,,,,,,
66,6.7,3.1,4.4,1.4,Iris-versicolor,0,,,,,,
67,5.6,3,4.5,1.5,Iris-versicolor,0,,,,,,
68,5.8,2.7,4.1,1,Iris-versicolor,0,,,,,,
69,6.2,2.2,4.5,1.5,Iris-versicolor,0,,,,,,
70,5.6,2.5,3.9,1.1,Iris-versicolor,0,,,,,,
71,5.9,3.2,4.8,1.8,Iris-versicolor,0,,,,,,
72,6.1,2.8,4,1.3,Iris-versicolor,0,,,,,,
73,6.3,2.5,4.9,1.5,Iris-versicolor,0,,,,,,
74,6.1,2.8,4.7,1.2,Iris-versicolor,0,,,,,,
75,6.4,2.9,4.3,1.3,Iris-versicolor,0,,,,,,
76,6.6,3,4.4,1.4,Iris-versicolor,0,,,,,,
77,6.8,2.8,4.8,1.4,Iris-versicolor,0,,,,,,
78,6.7,3,5,1.7,Iris-versicolor,0,,,,,,
79,6,2.9,4.5,1.5,Iris-versicolor,0,,,,,,
80,5.7,2.6,3.5,1,Iris-versicolor,0,,,,,,
81,5.5,2.4,3.8,1.1,Iris-versicolor,0,,,,,,
82,5.5,2.4,3.7,1,Iris-versicolor,0,,,,,,
83,5.8,2.7,3.9,1.2,Iris-versicolor,0,,,,,,
84,6,2.7,5.1,1.6,Iris-versicolor,0,,,Count of SepalWidthCm,Column Labels,,
